word,kelime,english_sentence,turkce_cumle
sentence,cümle,Read the first sentence.,İlk cümleyi okuyun.
september,eylül,Football matches start in September.,Futbol maçları Eylül ayında başlıyor.
serve,sert,The waiter served us very quickly.,Garson bize çok hızlı bir şekilde hizmet etti.
service,hizmet,The bank is famous for its good service.,Banka iyi hizmeti ile ünlüdür.
set,ayarlamak,Mother bought a new tea set.,Anne yeni bir çay seti aldı.
several,birçok,I've been there several times.,Birkaç kez oradaydım.
sex,seks,This game is good for all ages and both sexes.,Bu oyun her yaş ve her iki cinsiyet için de iyidir.
shall,acak,I shall miss him very much.,Onu çok özleyeceğim.
she,o,She is a nurse.,O bir hemşire.
shop,mağaza,The shop is closed.,Dükkan kapalı.
shopkeeper,dükkâncı,That shopkeeper is very rude to his customers.,Bu dükkan sahibi müşterileri için çok kaba.
short,kısa,I don't like short hair.,Kısa saçları sevmiyorum.
should,meli,You should go to the doctor.,Doktora gitmelisin.
show,göstermek,He showed me his photographs.,Bana fotoğraflarını gösterdi.
shut,kapamak,Please shut the door.,Lütfen kapıyı kapat.
sick,hasta,He didn't go to work because he was sick.,Hasta olduğu için işe gitmedi.
side,taraf,Whose side are you on?,Kimin tarafındasın?
simple,basit,The last question was very simple.,Son soru çok basitti.
since,o zamandan beri,I have been here since February.,Şubat ayından beri buradayım.
sing,şarkı söylemek,He signs very well.,Çok iyi imzalar.
singer,şarkıcı,She is a good singer.,O iyi bir şarkıcı.
single,Bekar,My single aim is to learn English.,Tek amacım İngilizce öğrenmek.
sister,kız kardeş,My sister's name is Pamela.,Kız kardeşimin adı Pamela.
sit,oturmak,Sit next to your friend.,Arkadaşının yanında otur.
size,boyut,What size shoes do you want?,Ne boyutta ayakkabılar istiyorsun?
ski,kayak,Don't forget to bring your skis.,Kayaklarınızı getirmeyi unutmayın.
sleep,uyumak,I sleep eight hours a night.,Bir gece sekiz saat uyuyorum.
small,küçük,Mice have very small eyes.,Farelerin çok küçük gözleri var.
so,Bu yüzden,Did she leave? I think so.,Ayrıldı mı? Bence de.
soccer,futbol,Why is soccer so popular?,Futbol neden bu kadar popüler?
society,toplum,He is a danger to society.,Toplum için bir tehlike.
sock,çorap,I can't find my socks!,Çoraplarımı bulamıyorum!
soft,yumuşak,This bed is very soft.,Bu yatak çok yumuşak.
some,bazı,I need some sugar.,Biraz şekere ihtiyacım var.
somebody,biri,Somebody has eaten my apple.,Birisi elma yemişti.
someone,birisi,There's someone at the door.,Kapıda birisi var.
something,bir şey,I want to tell you something.,Sana bir şey söylemek istiyorum.
sometimes,Bazen,Sometimes I watch TV.,Bazen televizyon izliyorum.
somewhere,bir yerde,Let's go somewhere else.,Başka bir yere gidelim.
son,oğul,How is your son?,Oğlun nasıl?
soon,yakında,I will finish this work soon.,Bu işi yakında bitireceğim.
sorry,Üzgünüm,Why is he sorry?,Neden üzgün?
sound,ses,Can you hear the sound of music?,Müziğin sesini duyabiliyor musun?
south,güney,Sevilla is in the south of Spain.,Sevilla İspanya'nın güneyinde.
speak,konuşmak,I want to speak to you.,Seninle konuşmak istiyorum.
special,özel,This is a special day for me.,Bu benim için özel bir gün.
speed,hız,What's the speed limit in the city?,Şehirdeki hız sınırı nedir?
spend,harcamak,Have you spent all your memory?,Tüm hafızanı harcadın mı?
spoon,kaşık,This spoon is dirty.,Bu kaşık kirli.
sport,spor,What sports do you like?,Hangi sporları seversin?
spring,bahar,Spring is the season before summer.,Bahar yazdan önceki mevsimdir.
stairs,merdiven,I met him on the stairs.,Onunla merdivenlerde tanıştım.
stamp,damga vurmak,She put a stamp on the letter.,Mektuba bir damga koydu.
stand,durmak,Don't stand in front of TV.,TV'nin önünde durmayın.
stand up,ayağa kalk,You don't have to stand up.,Ayağa kalkmana gerek yok.
station,istasyon,The train stopped at the station.,Tren istasyonda durdu.
stay,kalmak,We are staying in a hotel.,Bir otelde kalıyoruz.
still,Hala,He is still sleeping.,Hala uyuyor.
stop,durmak,Stop here please.,Burada durun lütfen.
street,sokak,The street is very narrow.,Sokak çok dar.
strong,güçlü,I'm strong than you.,Ben senden güçlüyüm.
student,öğrenci,The students worked very hard for the exam.,Öğrenciler sınav için çok çalıştılar.
success,başarı,The meeting was a great success.,Toplantı büyük bir başarıydı.
such,çok,I've never seen such a silly film!,Hiç bu kadar aptal bir film izlemedim!
suddenly,Birden,Suddenly it started to rain.,Aniden yağmur yağmaya başladı.
summer,yaz,Summer is the hottest season.,Yaz en sıcak sezon.
sun,güneş,The sun is very hot in summer.,Güneş yaz aylarında çok sıcak.
sunday,Pazar,Do they work on Sunday?,Pazar günü çalışıyorlar mı?
sunflower,ayçiçeği,Sunflowers follow the sun.,Ayçiçeği güneşi takip eder.
sunglasses,Güneş gözlüğü,I left my sunglasses in the car.,Güneş gözlüklerimi arabada bıraktım.
sunlight,Güneş ışığı,Our new flat gets a lot of sunlight.,Yeni dairemiz çok fazla güneş ışığı alıyor.
sunny,güneşli,Today is very sunny.,Bugün çok güneşli.
sunrise,gündoğumu,They watched the sunrise.,Gün doğumu izlediler.
sure,Elbette,Are you sure that you saw her?,Onu gördüğünden emin misin?
sweater,Kazak,Put your sweater on!,Kazanınızı takın!
swim,yüzmek,I like to swim in the sea.,Denizde yüzmeyi seviyorum.
swimmer,yüzücü,Mark is a good swimmer.,Mark iyi bir yüzücü.
system,sistem,What do you think of the education system?,Eğitim sistemi hakkında ne düşünüyorsunuz?
table,masa,This table is always dusty.,Bu tablo her zaman tozludur.
table tennis,masa Tenisi,I used to play table tennis.,Masa tenisi oynardım.
take,almak,Take the book from the table.,Kitabı masadan alın.
talk,konuşmak,I talk to my mother every day on the phone.,Annemle her gün telefonda konuşuyorum.
tap,musluk,This tap is leaking.,Bu musluk sızıyor.
tax,vergi,I have paid my taxes to the government.,Vergilerimi hükümete ödedim.
taxi,taksi,I came by taxi.,Taksi ile geldim.
tea,çay,Do you want some tea?,Biraz çay ister misiniz?
teach,öğretmek,Teach me how to dance.,Bana nasıl dans edileceğini öğret.
teacher,Öğretmen,She is a good teacher.,O iyi bir öğretmen.
team,takım,My team won the basketball match.,Ekibim basketbol maçını kazandı.
teapot,çaydanlık,Please bring the teapot from the kitchen.,Lütfen çaydanlıktan mutfaktan getirin.
telegraph,telgraf,They sent the news by telegraph.,Haberleri Telegraph tarafından gönderdiler.
telephone,telefon,The telephone isn't working.,Telefon çalışmıyor.
television,televizyon,This television is very old.,Bu televizyon çok eski.
tell,söylemek,He tells me lies all the time.,Bana her zaman yalan söylediğini söylüyor.
temperature,sıcaklık,The temperature was 40°C today.,Sıcaklık bugün 40 ° C idi.
test,Ölçek,Have you passed the test?,Testi geçtin mi?
textbook,ders kitabı,Our new textbook has interesting stories.,Yeni ders kitabımızın ilginç hikayeleri var.
than,hariç,I am taller than you.,Senden daha uzunum.
thank,teşekkür etmek,Thank you very much.,Çok teşekkür ederim.
thanks,teşekkürler,She accepted the gift with words of thanks.,Hediyeyi teşekkür sözleriyle kabul etti.
that,O,That house is for sale.,O ev satılık.
the,.,Give me the book.,Kitabı bana ver.
theatre,tiyatro,Shall we go to the theatre tonight?,Bu gece tiyatroya gidecek miyiz?
their,onların,Their house is very big.,Evleri çok büyük.
theirs,onların,Is this car theirs?,Bu araba onların mı?
them,onlara,I will see them tomorrow.,Onları yarın göreceğim.
themselves,kendileri,They painted the walls themselves.,Duvarları kendileri boyadılar.
then,Daha sonra,I'll be in Paris by then.,O zamana kadar Paris'te olacağım.
there,Orası,When did yo go there?,Oraya ne zaman gittin?
these,bunlar,Are these your books?,Bunlar senin kitapların mı?
they,Onlar,They went to America last year.,Geçen yıl Amerika'ya gittiler.
thing,şey,What is the name of that thing?,O şeyin adı nedir?
think,düşünmek,Can animals think?,Hayvanlar düşünebilir mi?
third,üçüncü,This is the third beer you have drunk.,Bu sarhoş olduğun üçüncü bira.
this,Bu,This is a dictionary.,Bu bir sözlük.
those,onlar,Those shoes are mine.,Bu ayakkabılar benim.
through,başından sonuna kadar,He walked through the park.,Parktan geçti.
throw,fırlatmak,Don't throw your rubbish in the streets.,Çöpünüzü sokaklara atmayın.
thursday,Perşembe,The ship arrived in London on Thursday.,Gemi Perşembe günü Londra'ya geldi.
ticket,bilet,"I want two tickets, please.",İki bilet istiyorum lütfen.
time,zaman,Don't waste your time.,Zamanınızı boşa harcamayın.
tired,yorgun,I'm very tired.,Çok yorgunum.
to,ile,He went to Berlin.,Berlin'e gitti.
today,Bugün,Today is Tuesday.,Bugün salı.
toe,ayak parmağı,I hurt my toes when I was dancing.,Dans ederken ayak parmaklarımı incittim.
together,birlikte,They went to the concert together.,Birlikte konsere gittiler.
tomorrow,Yarın,What are you doing tomorrow?,Yarın ne yapıyorsun?
tonight,bu akşam,Tonight I'm going to the cinema.,Bu gece sinemaya gidiyorum.
too,fazla,Will you come too?,Sen de gelecek misin?
tooth,diş,The dentist wants to pull my tooth out.,Diş hekimi dişimi dışarı çekmek istiyor.
toothache,diş ağrısı,I've got toothache.,Dişim ağrıyor.
toothbrush,diş fırçası,I want to buy a new toothbrush.,Yeni bir diş fırçası almak istiyorum.
toothpaste,diş macunu,He cleaned his teeth with toothpaste.,Dişlerini diş macunu ile temizledi.
top,tepe,He stood at the top of the hill.,Tepenin tepesinde durdu.
total,Toplam,The total cost of building is still unknown.,Binanın toplam maliyeti hala bilinmiyor.
towards,karşı,He ran towards the train.,Trene doğru koştu.
town,şehir,Falmouth is a small town.,Falmouth küçük bir kasaba.
toy,oyuncak,The child broke his toy.,Çocuk oyuncağını kırdı.
traffic,trafik,The traffic is very bad.,Trafik çok kötü.
train,tren,The train is late.,Tren geç.
tray,tepsi,She put the glasses on the tray.,Gözlükleri tepsiye koydu.
tree,ağaç,There are many birds in this tree.,Bu ağaçta birçok kuş var.
trouble,bela,What's your trouble?,Sorunun ne?
be in trouble,sıkıntıda olmak,I'm in trouble.,Zor durumdayım.
get into trouble,başı belaya girmek,He got into trouble again.,Tekrar başı belaya girdi.
true,doğru,That news is not true.,Bu haber doğru değil.
truth,gerçek,Tell me the truth.,Bana gerçeği söyle.
try,denemek,Try this pencil. It's better.,Bu kalemi deneyin. Daha iyi.
tuesday,Salı,Next meeting will be on Tuesday.,Bir sonraki toplantı Salı günü olacak.
turn,dönüş,The car turned the corner.,Araba köşeyi döndü.
turn off,kapamak,Turn the light off.,Işığı kapatın.
turn on,aç,Will you please turn on the radio?,Lütfen radyoyu açar mısınız?
tv,televizyon,There is a good film on TV tonight.,Bu gece televizyonda iyi bir film var.
twice,iki kere,I've seen that film twice.,O filmi iki kez izledim.
ugly,çirkin,What an ugly building!,Ne çirkin bir bina!
umbrella,şemsiye,I left my umbrella at home.,Şemsiyemi evde bıraktım.
under,altında,He hid under the bed.,Yatağın altına saklandı.
underground,yeraltı,We used the underground passage.,Yeraltı pasajını kullandık.
understand,anlamak,I didn't understand anything.,Hiçbir şey anlamadım.
until,değin,I won't start until you come.,Sen gelene kadar başlamayacağım.
up,yukarı,They climbed up the hill.,Tepeye tırmandılar.
us,biz,She told us a story.,Bize bir hikaye anlattı.
use,kullanmak,May I use your telephone?,Telefonunuzu kullanabilir miyim?
useful,kullanışlı,This is a useful dictionary.,Bu yararlı bir sözlük.
usually,genellikle,He usually has lunch at school.,Genellikle okulda öğle yemeği yiyor.
vase,vazo,There was a red rose in the vase.,Vazoda kırmızı bir gül vardı.
verb,fiil,Begin is a verb.,Başlamak bir fiildir.
very,çok,You're very clever.,Çok zekisin.
video,video,Have you got a video?,Videonun var mı?
view,görüş,What a beuatiful view!,Ne kadar müstehcen bir görüş!
village,köy,I was born in a small village.,Küçük bir köyde doğdum.
wait,Beklemek,I'm waiting for the bus.,Otobüsü bekliyorum.
waiter,garson,Call the waiter.,Garsonu arayın.
waitress,Bayan garson,There are 5 waitresses at this restaurant.,Bu restoranda 5 garson var.
walk,yürümek,We've been walking for hours.,Saatlerdir yürüyoruz.
wall,duvar,I hung the pictures on the wall.,Resimleri duvara astım.
want,istek,I want to go home.,Eve gitmek istiyorum.
warm,ılık,The weather was warm yesterday.,Dün hava sıcaktı.
was,olmuş,She was at the bus stop.,Otobüs durağındaydı.
wash,yıkamak,Wash your hands before you start eating.,Yemeye başlamadan önce ellerinizi yıkayın.
watch,kol saati,They are watching television.,Televizyon izliyorlar.
water,su,Drink some water.,Biraz su iç.
watermelon,karpuz,The watermelon I bought yesterday was delicious.,Dün satın aldığım karpuz lezzetliydi.
way,yol,"Show me the way, please.",Bana yolu göster lütfen.
we,Biz,We are your friends.,Biz senin arkadaşlarınız.
wear,giymek,Why don't you wear your new skirt?,Neden yeni eteğini giymiyorsun?
weather,hava durumu,What's the weather like there?,Orada havalar nasıl?
wednesday,Çarşamba,The students go to the cinema on Wednesday.,Öğrenciler Çarşamba günü sinemaya gidiyorlar.
week,hafta,There are 52 weeks in a year.,Yılda 52 hafta var.
weekend,hafta sonu,What are you doing at the weekend?,Hafta sonu ne yapacaksın?
weight,ağırlık,What's the weight of that stone?,O taşın ağırlığı nedir?
well,Peki,You don't look well.,İyi görünmüyorsun.
what,Ne,What do you want from me?,Benden ne istiyorsun?
when,Ne zaman,When are you leaving?,Ne zaman ayrılıyorsun?
where,Neresi,Where do you want to go?,Nereye gitmek istersin?
which,Hangi,Which bag is yours?,Hangi çanta senin?
whistle,ıslık,I opened the window when I heard his whistle.,Düdüğünü duyduğumda pencereyi açtım.
white,beyaz,Where are my white socks?,Beyaz çoraplarım nerede?
who,DSÖ,Who are you?,Sen kimsin?
whole,tüm,She ate the whole cake.,Bütün pastayı yedi.
whom,kime,Whom did you visit last week?,Geçen hafta kimi ziyaret ettin?
whose,kimin,Whose gloves are these?,Bunlar kimin eldivenleri?
why,Neden,Why did you go there?,Neden oraya gittin?
wide,geniş,This river is very wide.,Bu nehir çok geniş.
wife,eş,My wife works is a bank.,Eşim Works bir banka.
will,irade,I will be there in 10 minutes.,10 dakika içinde orada olacağım.
will you,mısın,Will you please open the door?,Lütfen kapıyı açar mısınız?
win,kazanç,I think he is going to win the race.,Bence yarışı kazanacak.
window,pencere,"Can you clean the windows, too?",Pencereleri de temizleyebilir misin?
windy,rüzgarlı,I get a headache on windy days.,Rüzgarlı günlerde baş ağrısı alıyorum.
winter,kış,Winter is the coldest season.,Kış en soğuk mevsimdir.
wish,dilek,I wish you success in your new job.,Yeni işinizde başarı diliyorum.
with,ile,Come with me.,Benimle gel.
without,olmadan,I went there without money.,Oraya parasız gittim.
woman,kadın,What a nice woman!,Ne güzel bir kadın!
wonderful,müthiş,You're wonderful tonight!,Bu gece harikasın!
word,kelime,I don't believe a word you say!,Söylediğin bir kelimeye inanmıyorum!
work,iş,I don't work on Sundays.,Pazar günleri çalışmıyorum.
workman,işçi,The workmen have almost finished the bridge.,İşçiler neredeyse köprüyü bitirdiler.
world,dünya,The world is round.,Dünya yuvarlak.
worry,endişelenmek,My mother's illness worries me.,Annemin hastalığı beni endişelendiriyor.
write,yazmak,Write your name on the blackboard.,Adınızı tahtaya yazın.
wrong,yanlış,Is my answer wrong?,Cevabım yanlış mı?
year,yıl,I've been in Berlin for five years.,Beş yıldır Berlin'deyim.
yellow,sarı,I gave my yellow T-shirt to my brother.,Sarı tişörtümü kardeşime verdim.
yes,Evet,She said yes.,O evet dedi.
yesterday,Dün,Where were you yesterday?,Dün neredeydin?
yet,henüz,It isn't dark yet.,Henüz karanlık değil.
yoghurt,yoğurt,She ate all the yoghurt,Tüm yoğurt yedi
you,Sen,You are my best friend.,Sen benim en iyi arkadaşımsın.
young,genç,Joe is the youngest student in our classroom.,Joe sınıfımızdaki en genç öğrencidir.
your,senin,Is this your book?,Bu senin kitabın mı?
yours,seninki,This pen is yours.,Bu kalem senin.
yourself,kendin,Do it yourself!,Kendin Yap!
zero,sıfır,It was nine below zero last night.,Dün gece sıfırın dokuzunun altındaydı.
zoo,hayvanat bahçesi,Your friends are at the zoo.,Arkadaşlarınız hayvanat bahçesinde.
